#{"t_start": 1685717185.387958, "env_id": null}
r,l,t
-19.9,5470,4839.003096
-27.6,3626,4848.402577
-25.0,3920,4890.610121
-27.7,3214,4899.081043
-28.1,3656,4908.792105
-20.2,2979,4916.434197
-29.8,3134,4957.405764
-21.3,5290,4974.347686
-25.2,3859,4984.402931
-25.2,3837,5025.177898
-14.4,2760,5033.382484
-23.3,3558,5046.948669
-24.9,4138,5058.547081
-25.3,3842,5098.03621
-24.3,4683,5114.115996
-32.9,4240,5127.956907
-30.4,3804,5167.282715
-23.3,3182,5175.549925
-24.9,3079,5183.346941
-24.8,3123,5191.329102
-23.8,4100,5235.54056
-25.8,3114,5244.301282
-24.8,3606,5254.014836
-26.1,3214,5262.57113
-25.4,3413,5302.057736
-26.5,3193,5311.327437
-28.7,3361,5320.809789
-28.6,4197,5332.347054
-24.4,2920,5371.051521
-23.5,3468,5381.176692
-22.3,3618,5390.825117
-29.8,3804,5400.976399
-24.5,4083,5439.938482
-26.8,4615,5451.766668
-30.8,3467,5461.298004
-27.8,3817,5503.128555
-27.8,3592,5512.444087
-28.5,2901,5520.268528
-20.0,3719,5529.957347
-23.3,3053,5569.546362
-27.8,4154,5581.008762
-31.2,4532,5593.614351
-20.5,3635,5603.803893
-20.7,3099,5643.480878
-26.9,3060,5651.532698
-21.7,3086,5659.686543
-21.7,3186,5667.92801
-23.5,4488,5709.656889
-24.9,3605,5719.168307
-16.6,2951,5726.827449
-21.9,3624,5736.728176
-27.6,4244,5779.659426
-13.8,3050,5787.808907
-21.9,3706,5798.305852
-21.7,2871,5805.678514
-24.8,3404,5846.745956
-25.6,3991,5859.245629
-24.3,3332,5869.757675
-29.4,3684,5880.138657
-23.3,3434,5919.028606
-25.6,3100,5926.910788
-18.9,4133,5937.544118
-15.1,3410,5946.357866
-16.2,2835,5984.78072
-19.9,3402,5993.403569
-23.4,3034,6001.646491
-23.6,3633,6011.284493
-27.6,3537,6051.979821
-21.2,2871,6059.676344
-26.4,3326,6068.32158
-23.7,3224,6077.099373
-21.7,3801,6117.87816
-17.9,4116,6128.779905
-26.1,3511,6137.82638
-21.5,3189,6145.692666
-22.3,3613,6184.635155
-13.7,3074,6192.486572
-20.3,2506,6198.997926
-15.6,2820,6206.042941
-26.2,3634,6245.321446
-30.0,4125,6255.76553
-25.6,3837,6265.327367
-22.1,2968,6272.637105
-28.1,3839,6312.710739
-24.8,4231,6323.70049
-27.5,3928,6333.487084
-25.6,4231,6371.354631
-17.7,3528,6380.147609
-10.9,3611,6389.505316
-27.8,4388,6402.162594
-15.9,3364,6439.966461
-11.1,3593,6449.57307
-24.2,4491,6461.861744
-17.2,3428,6499.513361
-15.6,2924,6506.97871
-25.9,3906,6517.17237
-18.1,3205,6525.640962
-24.9,3291,6534.331759
-19.9,3166,6575.658409
-16.3,3633,6591.61379
-24.9,3663,6608.273553
-25.8,3302,6661.847539
-20.2,3423,6678.396699
-27.7,4587,6700.239522
-30.8,4460,6717.32603
-24.2,3802,6773.168704
-21.7,3353,6788.43206
-16.2,3197,6802.707865
-15.7,3487,6818.320348
-20.1,3871,6872.358125
-21.8,3686,6889.30098
-28.1,4030,6908.091235
-25.6,4304,6967.033616
-27.9,3964,6985.41762
-23.9,3688,7003.212567
-27.6,4585,7023.9554
-29.4,4233,7070.54743
-25.2,3836,7081.969501
-7.5,2852,7090.638852
-26.2,3863,7133.511813
-27.8,4134,7144.361043
-25.9,4393,7155.704164
-26.2,3899,7165.840196
-19.8,3461,7208.406684
-24.3,4219,7220.353062
-18.5,3411,7229.190479
-14.0,3391,7273.86818
-22.3,3495,7290.062901
-27.2,3982,7308.751939
-8.7,2838,7322.089945
-25.3,4349,7379.703657
-5.8,3576,7396.950115
-29.6,4055,7415.69487
-23.7,3727,7435.014466
-20.8,4365,7494.03433
-22.8,4749,7515.661195
-13.8,3831,7533.044769
-21.2,3408,7587.020447
-20.2,4133,7607.191917
-23.2,3169,7622.567868
-12.1,2304,7633.623447
-18.4,3217,7687.827658
-23.4,2951,7701.537126
-11.3,4550,7722.624534
-17.8,3267,7737.816844
-22.3,4048,7795.146372
-20.5,2862,7803.688764
-23.8,3609,7819.437514
-23.8,4712,7840.195742
-23.5,4342,7900.848124
-20.6,2870,7913.68915
-13.8,3858,7930.368535
-21.4,3614,7987.01597
-11.3,2970,8000.985825
-21.4,4045,8019.556354
-20.7,2870,8033.141784
-18.4,2909,8047.877121
-23.0,3964,8108.563024
-11.4,3026,8123.079603
-21.2,3121,8138.326889
-10.1,3318,8155.302064
-15.7,2975,8211.743299
-7.6,2939,8225.709871
-23.8,3505,8241.581162
-24.9,4143,8262.798906
-21.3,3915,8323.872621
-14.6,3659,8340.534414
